GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
N-Coal_ST	3	Coal	15.228
C-Coal_ST	6	Coal	16.074
N-Biomass_IGCC	5	BioSolid	0.0
N-Nuclear	7	Uranium	0.0
C-Biomass_IGCC	6	BioSolid	0.0
S-Biomass_IGCC_CCS	1	BioSolid	0.0
C-NG_GT	5	NaturalGas	0.0
S-NG_CC	4	NaturalGas	31.4948229233593
C-Biomass_IGCC	7	BioSolid	0.0
S-Biomass_IGCC_CCS	6	BioSolid	0.0
S-Biomass_IGCC	3	BioSolid	0.0
S-NG_CC	7	NaturalGas	0.0
S-Biomass_IGCC_CCS	3	BioSolid	0.0
