generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
N-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.744
S-Central_PV-1,2035011512,0.0,-4.92939022934e-16,-4.32110347504e-15,0.0,S-Central_PV-1,Solar,South,Central_PV,2030,8766.0
S-Geothermal,2025011612,0.0,2.90574225,3.18394963598,110151.921607,S-Geothermal,Geothermal,South,Geothermal,2020,1095.744
N-NG_CC_CCS,2025061512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,2191.5
C-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.744
N-Coal_IGCC_CCS,2025061512,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,2191.5
N-Coal_ST,2025011600,1593.84572965,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.744
C-Coal_ST,2025061500,3364.80385392,1.692,3.708018,13348.8648,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
S-Commercial_PV,2025011512,0.0,0.72618,0.79570737792,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,1095.744
N-Residential_PV,2025011512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.744
S-Central_PV-2,2025011612,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,1095.744
N-Wind-1,2025061512,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
C-Coal_IGCC,2025011600,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.744
N-NG_CC,2025061500,1345.23884971,1.72540836082,3.78123242273,12905.724382,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
C-Wind-2,2025011512,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.744
S-NG_GT,2025011512,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.744
C-Central_PV-1,2025061500,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
S-NG_CC,2025011600,1590.05536005,4.07884419281,4.46936905121,18305.2842104,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.744
N-Commercial_PV,2025011512,0.0,1.274,1.395977856,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.744
N-NG_GT,2035011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2030,8766.0
S-NG_CC,2025061512,3664.42097837,4.7,10.30005,42186.120786,S-NG_CC,NaturalGas,South,NG_CC,2020,2191.5
C-Central_PV-2,2025061500,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
S-NG_CC_CCS,2025011512,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,1095.744
N-Central_PV-1,2025061512,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,2191.5
S-Biomass_IGCC_CCS,2025011600,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,1095.744
N-Nuclear,2035011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2030,8766.0
S-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,2191.5
C-NG_GT,2025061500,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
S-Central_PV-1,2025011612,0.0,-9.32587340685e-16,-1.02187698303e-15,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,1095.744
N-Wind-2,2025061500,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,2191.5
N-Coal_IGCC_CCS,2025011600,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.744
C-Wind-1,2025011500,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.744
C-Coal_ST,2025011512,1682.39271463,1.692,1.853998848,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.744
C-NG_CC,2025011612,522.34416831,1.33992848997,1.46821860331,4008.94153197,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.744
N-Wind-1,2025061500,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
N-NG_CC,2025011512,84.9763406845,0.217983135956,0.238853713325,815.231608948,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.744
C-Wind-2,2025011500,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.744
S-NG_GT,2035011512,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2030,8766.0
N-Biomass_IGCC_CCS,2035011512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2030,8766.0
C-Residential_PV,2025061512,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,2191.5
N-Commercial_PV,2025061500,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
S-NG_CC_CCS,2025061500,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,2191.5
C-Commercial_PV,2035011512,0.0,0.2744,2.4053904,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2030,8766.0
N-Central_PV-2,2035011512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2030,8766.0
S-Biomass_IGCC_CCS,2025061512,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,2191.5
C-NG_GT,2025061512,2271.33983387,1.88,4.12002,91652.316912,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
N-Geothermal,2035011512,0.0,0.96858075,8.4905788545,244783.388375,N-Geothermal,Geothermal,North,Geothermal,2030,8766.0
N-Coal_IGCC,2025011512,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.744
C-Wind-1,2025061512,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,2191.5
C-Coal_IGCC,2025011612,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.744
C-NG_CC,2035011512,12991.369957,4.16569487775,36.5164812983,99707.5218555,C-NG_CC,NaturalGas,Central,NG_CC,2030,8766.0
C-Nuclear,2035011512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2030,8766.0
S-NG_CC,2025011612,1518.22930622,3.89459445539,4.26747850692,17478.3970704,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.744
C-Wind-2,2025011612,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.744
S-Residential_PV,2035011512,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2030,8766.0
N-Central_PV-2,2025011512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.744
C-Central_PV-2,2025011512,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
N-NG_GT,2025011612,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.744
S-Central_PV-2,2025061500,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,2191.5
N-Coal_ST,2025011500,1593.84572965,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.744
C-Commercial_PV,2025011612,0.0,0.45276,0.49610905344,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.744
S-Geothermal,2025011600,0.0,2.90574225,3.18394963598,110151.921607,S-Geothermal,Geothermal,South,Geothermal,2020,1095.744
N-NG_CC_CCS,2025011512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.744
S-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,1095.744
C-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,2191.5
S-Commercial_PV,2025061512,0.0,1.00646,2.20565709,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,2191.5
N-Coal_IGCC,2035011512,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2030,8766.0
S-Geothermal,2025061500,0.0,2.90574225,6.36793414087,220305.049538,S-Geothermal,Geothermal,South,Geothermal,2020,2191.5
N-Wind-1,2025011512,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.744
C-Coal_IGCC,2035011512,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2030,8766.0
C-NG_CC,2025011512,412.221177788,1.05743862724,1.15868203117,3163.75811247,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.744
C-Nuclear,2025011512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.744
C-Central_PV-1,2025011500,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.744
S-NG_CC,2035011512,0.0,0.0,0.0,0.0,S-NG_CC,NaturalGas,South,NG_CC,2030,8766.0
S-Residential_PV,2025011512,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
C-Central_PV-2,2025011500,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
N-Commercial_PV,2025061512,0.0,1.4308,3.1355982,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
C-Residential_PV,2025011500,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.744
N-Nuclear,2025011600,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.744
C-NG_GT,2025011500,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.744
C-Commercial_PV,2025011500,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.744
N-Coal_ST,2025061500,3187.70891424,1.692,3.708018,12607.2612,N-Coal_ST,Coal,North,Coal_ST,2020,2191.5
N-NG_CC_CCS,2035011512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2030,8766.0
N-Wind-2,2025011500,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.744
C-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.744
N-Coal_IGCC_CCS,2035011512,7.55935669724e-13,5.7982968513e-16,5.08278701985e-15,5.01061144417e-11,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2030,8766.0
S-Geothermal,2025011512,0.0,2.90574225,3.18394963598,110151.921607,S-Geothermal,Geothermal,South,Geothermal,2020,1095.744
C-Coal_ST,2025061512,3364.80385392,1.692,3.708018,13348.8648,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
N-NG_GT,2025011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.744
N-Coal_IGCC,2025011612,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.744
N-Wind-1,2025011500,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.744
C-Coal_IGCC,2025011512,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.744
N-NG_CC,2025061512,1465.76839135,1.88,4.12002,14062.040262,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
C-Nuclear,2025011500,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.744
S-NG_GT,2025011600,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.744
C-Central_PV-1,2025061512,0.0,-2.22044604925e-16,-4.86610751693e-16,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
S-Central_PV-2,2035011512,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2030,8766.0
S-NG_CC,2025011512,1465.69846554,3.75984121357,4.11982345072,16873.6433036,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.744
S-Residential_PV,2025011500,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
C-Central_PV-2,2025011612,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
S-NG_CC_CCS,2025011500,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,1095.744
S-Commercial_PV,2025011612,0.0,0.80262,0.87946604928,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,1095.744
S-Biomass_IGCC_CCS,2025011512,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,1095.744
N-Nuclear,2025011612,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.744
S-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,1095.744
C-NG_GT,2025011512,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.744
S-Central_PV-1,2025061500,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,2191.5
N-Geothermal,2025011600,0.0,0.96858075,1.06131654533,30597.7560018,N-Geothermal,Geothermal,North,Geothermal,2020,1095.744
N-NG_CC_CCS,2025011612,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.744
N-Wind-2,2025061512,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,2191.5
N-Coal_IGCC_CCS,2025011612,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.744
C-Wind-1,2025011512,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.744
C-Coal_ST,2025011600,1682.39271463,1.692,1.853998848,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.744
N-NG_GT,2025011500,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.744
N-Wind-1,2025011612,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.744
N-NG_CC,2025011600,732.880182618,1.88,2.05999872,7030.98163123,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.744
S-NG_GT,2025011612,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.744
N-Biomass_IGCC_CCS,2025011612,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.744
N-Central_PV-2,2025011600,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.744
S-NG_CC_CCS,2025011612,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,1095.744
N-Commercial_PV,2035011512,0.0,0.7448,6.5289168,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2030,8766.0
N-Central_PV-1,2025011612,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.744
S-Biomass_IGCC_CCS,2025061500,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,2191.5
N-Coal_ST,2035011512,12750.835657,1.692,14.832072,50429.0448,N-Coal_ST,Coal,North,Coal_ST,2030,8766.0
S-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2030,8766.0
C-NG_GT,2035011512,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2030,8766.0
N-Geothermal,2025061512,0.0,0.96858075,2.12264471363,61195.8470938,N-Geothermal,Geothermal,North,Geothermal,2020,2191.5
N-Central_PV-1,2025061500,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,2191.5
N-Coal_IGCC,2025011600,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.744
N-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.744
N-Coal_IGCC_CCS,2025011500,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.744
S-Geothermal,2025011500,0.0,2.90574225,3.18394963598,110151.921607,S-Geothermal,Geothermal,South,Geothermal,2020,1095.744
C-Wind-1,2035011512,0.0,3.1808,27.8828928,0.0,C-Wind-1,Wind,Central,Wind,2030,8766.0
C-NG_CC,2025061512,1727.7281983,2.21599062442,4.85634345343,13260.1486727,C-NG_CC,NaturalGas,Central,NG_CC,2020,2191.5
S-Central_PV-2,2025061512,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,2191.5
C-Nuclear,2025061512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,2191.5
C-Residential_PV,2025011612,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.744
N-Central_PV-2,2025011612,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.744
C-Wind-2,2035011512,0.0,2.56452,22.48058232,0.0,C-Wind-2,Wind,Central,Wind,2030,8766.0
S-Residential_PV,2025061512,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,2191.5
N-Commercial_PV,2025011612,0.0,1.2936,1.4174544384,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.744
N-Biomass_IGCC_CCS,2025011500,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.744
N-Residential_PV,2025011500,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.744
S-NG_CC_CCS,2035011512,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2030,8766.0
C-Commercial_PV,2025061500,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,2191.5
S-Commercial_PV,2025011600,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,1095.744
N-NG_CC_CCS,2025011600,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.744
S-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,1095.744
C-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,2191.5
N-Geothermal,2025061500,0.0,0.96858075,2.12264471363,61195.8470938,N-Geothermal,Geothermal,North,Geothermal,2020,2191.5
N-NG_GT,2025061512,343.528131748,0.284340052534,0.623131225129,17327.4099772,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.744
C-Wind-1,2025011612,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.744
C-Coal_IGCC,2025061512,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,2191.5
C-NG_CC,2025011500,863.859368887,2.21599062442,2.42815843077,6630.03803205,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.744
C-Nuclear,2025061500,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,2191.5
C-Central_PV-1,2025011512,0.0,-1.71452163297e-16,-1.87867679219e-16,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.744
N-Coal_ST,2025011612,1593.84572965,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.744
S-Residential_PV,2025061500,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,2191.5
N-Biomass_IGCC_CCS,2025011512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.744
N-Central_PV-2,2025061500,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,2191.5
S-Central_PV-1,2025011500,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,1095.744
C-Commercial_PV,2025011512,0.0,0.41846,0.45852503424,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.744
N-Wind-2,2025011512,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.744
N-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
C-Coal_ST,2035011512,0.0,0.0,0.0,0.0,C-Coal_ST,Coal,Central,Coal_ST,2030,8766.0
N-NG_GT,2025061500,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,2191.5
N-Coal_IGCC,2025061500,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,2191.5
N-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2030,8766.0
C-Coal_IGCC,2025011500,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.744
N-NG_CC,2035011512,5863.07356538,1.88,16.48008,56248.161048,N-NG_CC,NaturalGas,North,NG_CC,2030,8766.0
N-Commercial_PV,2025011500,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.744
C-Central_PV-1,2035011512,0.0,-1.09616956862e-16,-9.6090224385e-16,0.0,C-Central_PV-1,Solar,Central,Central_PV,2030,8766.0
C-Residential_PV,2025061500,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,2191.5
S-NG_CC,2025011500,1656.10867611,4.2482855792,4.65503343369,19065.713535,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.744
N-Residential_PV,2025061512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,2191.5
C-Central_PV-2,2035011512,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2030,8766.0
S-Geothermal,2025061512,0.0,2.90574225,6.36793414087,220305.049538,S-Geothermal,Geothermal,South,Geothermal,2020,2191.5
S-Biomass_IGCC_CCS,2025011500,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,1095.744
