GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
S-Biomass_IGCC_CCS	5	BioSolid	0.0
C-Nuclear	7	Uranium	0.0
N-Biomass_IGCC	2	BioSolid	0.0
N-Biomass_IGCC	3	BioSolid	0.0
S-NG_GT	1	NaturalGas	0.0
C-NG_GT	2	NaturalGas	0.0
C-NG_CC	2	NaturalGas	7.09012599567054
N-NG_GT	7	NaturalGas	0.0
C-Coal_IGCC	2	Coal	0.0
C-Coal_ST	3	Coal	16.074
S-Biomass_IGCC	1	BioSolid	0.0
S-NG_GT	6	NaturalGas	0.0
N-Coal_IGCC_CCS	6	Coal	0.0
N-Biomass_IGCC	1	BioSolid	0.0
C-NG_GT	1	NaturalGas	0.0
N-Nuclear	4	Uranium	0.0
N-Coal_IGCC_CCS	3	Coal	0.0
N-Coal_ST	7	Coal	15.228
N-Coal_IGCC	5	Coal	0.0
N-Coal_ST	4	Coal	15.228
C-Nuclear	2	Uranium	0.0
C-Biomass_IGCC	4	BioSolid	0.0
N-NG_CC_CCS	6	NaturalGas	0.0
C-NG_GT	7	NaturalGas	0.0
S-NG_CC	6	NaturalGas	31.5135
N-Biomass_IGCC	4	BioSolid	0.0
S-Biomass_IGCC_CCS	4	BioSolid	0.0
C-Biomass_IGCC	2	BioSolid	0.0
S-Biomass_IGCC	6	BioSolid	0.0
N-NG_GT	4	NaturalGas	0.0
S-NG_GT	5	NaturalGas	0.0
N-NG_CC_CCS	4	NaturalGas	0.0
C-Biomass_IGCC	1	BioSolid	0.0
N-Coal_ST	1	Coal	15.228
N-Coal_ST	6	Coal	15.228
N-NG_CC	6	NaturalGas	12.6054
S-Biomass_IGCC_CCS	7	BioSolid	0.0
S-NG_CC_CCS	3	NaturalGas	0.0
N-Nuclear	2	Uranium	0.0
N-Coal_ST	3	Coal	15.228
C-Coal_ST	6	Coal	16.074
N-Biomass_IGCC	5	BioSolid	0.0
N-Nuclear	7	Uranium	0.0
C-Biomass_IGCC	6	BioSolid	0.0
S-Biomass_IGCC_CCS	1	BioSolid	0.0
C-NG_GT	5	NaturalGas	0.0
S-NG_CC	4	NaturalGas	26.1132558233593
C-Biomass_IGCC	7	BioSolid	0.0
S-Biomass_IGCC_CCS	6	BioSolid	0.0
S-Biomass_IGCC	3	BioSolid	0.0
S-NG_CC	7	NaturalGas	0.0
S-Biomass_IGCC_CCS	3	BioSolid	0.0
